item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,121,5,1858.99,3.5
2,1,350,1,1865.39,25.1
3,1,478,1,15806.42,15.0
4,2,253,3,12900.0,7.6
5,3,318,4,3683.38,12.6
6,3,55,2,5565.07,39.2
7,4,451,4,7367.72,20.9
8,4,271,2,16719.28,21.5
9,4,95,2,8761.99,27.3
10,5,213,5,15916.76,30.9
11,5,351,3,5327.79,20.7
12,5,516,2,9424.85,22.6
13,6,331,1,17406.18,16.9
14,7,345,3,9416.8,0.9
15,7,103,5,11582.91,16.0
16,7,192,2,7558.31,27.1
17,8,42,1,15515.34,16.0
18,8,240,1,3452.74,23.9
19,8,520,5,19452.69,5.2
20,9,56,2,9255.46,0.0
21,9,93,2,3565.56,7.4
22,9,317,2,14524.07,22.2
23,10,6,3,11064.11,8.5
24,10,489,4,16652.24,30.5
25,10,164,1,6469.38,16.0
26,11,290,5,9842.94,23.5
27,11,435,2,3686.48,14.5
28,11,404,5,12269.75,36.6
29,12,142,2,6143.47,15.4
30,12,512,2,5806.54,32.9
31,13,268,4,8054.59,4.3
32,14,355,1,8178.8,6.4
33,15,520,-4,13128.27,16.9
34,15,394,1,5284.18,24.1
35,16,515,5,2366.69,17.0
36,16,382,4,1738.18,37.9
37,16,485,5,10370.69,34.9
38,16,344,4,5742.02,19.6
39,17,52,4,6028.47,21.7
40,17,379,2,8428.65,11.9
41,17,259,1,7241.3,29.5
42,18,180,5,14576.73,17.2
43,18,87,3,9241.91,36.8
44,19,42,1,19540.34,35.3
45,19,79,4,14549.17,25.5
46,19,335,3,594.31,10.3
47,19,382,1,8753.69,7.7
48,20,311,1,9537.43,17.5
49,20,527,2,13478.08,36.4
50,20,250,3,8232.58,16.6
51,21,282,4,19521.57,8.9
52,21,274,1,4538.0,29.1
53,22,431,-5,6910.83,17.8
54,22,337,4,10054.65,6.8
55,22,399,4,790.49,38.7
56,22,488,4,7004.19,39.4
57,23,312,4,736.86,6.7
58,23,299,3,8395.55,30.1
59,23,323,3,9891.52,36.8
60,24,388,1,4344.41,11.6
61,24,127,2,19690.0,22.0
62,25,223,3,12660.97,27.5
63,25,429,3,10720.29,16.2
64,25,286,4,18502.32,34.9
65,26,296,4,13714.53,23.2
66,26,4,4,8294.33,24.8
67,26,546,2,10141.72,22.8
68,26,343,4,6601.65,22.8
69,27,94,5,3981.68,18.3
70,27,380,2,18752.25,12.9
71,27,24,3,763.16,18.4
72,27,399,5,4951.39,18.5
73,28,340,2,14482.62,29.9
74,29,533,4,17684.64,28.6
75,29,482,5,10753.29,19.2
76,29,395,1,8058.18,30.8
77,29,73,3,18558.69,17.6
78,30,107,2,15195.12,31.7
79,31,376,3,4974.91,10.6
80,31,423,3,1620.28,19.7
81,32,267,3,6713.63,10.3
82,32,351,3,15262.26,11.5
83,33,380,3,14359.36,12.2
84,33,372,4,3215.66,5.1
85,34,394,1,11727.12,0.5
86,34,264,3,14947.33,16.2
87,34,234,5,19452.21,23.5
88,35,536,4,17435.03,19.4
89,35,384,-4,18946.92,12.4
90,35,388,2,12231.53,4.8
91,36,366,4,12826.94,29.9
92,36,511,5,14866.35,1.3
93,37,338,5,11132.7,29.7
94,38,58,4,5072.24,29.6
95,39,234,2,12241.38,3.7
96,39,468,2,18361.72,5.3
97,40,63,2,11688.22,21.5
98,40,213,1,12733.03,4.7
99,40,234,1,2132.54,23.9
100,41,10,4,4016.76,24.6
101,41,441,4,5147.19,10.8
102,41,115,2,9743.1,25.8
103,42,545,3,10135.79,4.5
104,42,255,2,6486.27,18.8
105,42,350,2,15244.69,3.8
106,43,351,2,10110.33,21.2
107,43,188,1,18561.9,26.9
108,43,199,3,15362.99,34.1
109,43,112,5,6614.77,19.0
110,44,276,3,6228.71,33.2
111,44,235,3,8592.16,16.7
112,44,270,4,8264.44,5.6
113,44,484,4,536.67,8.3
114,45,302,3,7740.77,29.6
115,45,383,2,8886.05,3.0
116,45,25,2,9671.7,18.8
117,46,400,4,19740.54,2.4
118,47,351,3,8846.77,18.9
119,48,333,4,17497.92,23.0
120,49,449,2,10999.72,22.3
121,50,23,3,7320.41,29.9
122,50,144,2,9446.28,13.3
123,50,70,3,14990.86,4.8
124,51,438,5,19794.42,22.6
125,51,406,1,17480.66,21.6
126,51,499,3,12742.32,22.6
127,51,50,5,10705.48,33.9
128,52,480,5,3939.12,27.4
129,53,477,3,13009.62,21.1
130,53,463,4,8119.1,24.9
131,53,156,-4,4620.81,10.4
132,54,335,4,4126.58,37.0
