product_id,product_name,category,subcategory,cost_price
1,Not Footwear,Clothing,Footwear,3618.08
2,General Kitchen,Home,Kitchen,5573.29
3,Include Kitchen,Home,Kitchen,2928.15
4,  Peace Camera  ,Electronics,Cameras,9628.44
5,Protect Mobile,Electronics,Mobiles,3729.18
6,source women,Clothing,Women,3186.64
7,They Women,Clothing,Women,2298.56
8,Rate Accessorie,Electronics,Accessories,2255.85
9,Responsibility Kid,Clothing,Kids,1737.9
10,question laptop,Electronics,Laptops,3645.18
11,Attorney Kitchen,Home,Kitchen,880.75
12,Force Fiction,Books,Fiction,7196.06
13,Say Kitchen,Home,Kitchen,3401.09
14,Leave Accessorie,Electronics,Accessories,14463.99
15,Show Camera,Electronics,Cameras,6451.48
16,Throughout Camera,Electronics,Cameras,6709.08
17,Edge Accessorie,Electronics,Accessories,1078.67
18,Article Decor,Home,Decor,9001.14
19,Election Bedding,Home,Bedding,6509.97
20,Before Laptop,Electronics,Laptops,13332.56
21,Window Academic,Books,Academic,6041.08
22,Leader Accessorie,Electronics,Accessories,10010.11
23,Business Furniture,Home,Furniture,7166.59
24,  Long Mobile  ,Electronics,Mobiles,11108.06
25,Population Men,Clothing,Men,8467.64
26,Politics Kitchen,Home,Kitchen,13116.75
27,Around Fiction,Books,Fiction,9046.11
28,For Kitchen,Home,Kitchen,3269.81
29,Reflect Non-Fiction,Books,Non-Fiction,5316.7
30,Site Kitchen,Home,Kitchen,8654.09
31,Really Fiction,Books,Fiction,9901.69
32,Sit Kitchen,Home,Kitchen,10570.21
33,Continue Decor,Home,Decor,2802.94
34,call footwear,Clothing,Footwear,14579.97
35,Actually Laptop,Electronics,Laptops,6859.32
36,Second Kid,Clothing,Kids,4933.31
37,Certain Mobile,Electronics,Mobiles,11341.09
38,Science Mobile,Electronics,Mobiles,9962.89
39,Activity Comic,Books,Comics,3311.98
40,Common Accessorie,Electronics,Accessories,4320.37
41,  Model Academic  ,Books,Academic,9029.94
42,Hand Laptop,Electronics,Laptops,3247.39
43,Necessary Kid,Clothing,Kids,1887.77
44,Nation Comic,Books,Comics,5765.09
45,stay kid,Clothing,Kids,730.3
46,Test Camera,Electronics,Cameras,12945.44
47,Set Comic,Books,Comics,6323.64
48,  Event Camera  ,Electronics,Cameras,12039.7
49,compare academic,Books,Academic,3725.42
50,Hot Fiction,Books,Fiction,4723.09
51,Card Furniture,Home,Furniture,2605.18
52,So Laptop,Electronics,Laptops,5305.69
53,Statement Women,Clothing,Women,3913.93
54,Tv Women,Clothing,Women,9867.08
55,Exist Footwear,Clothing,Footwear,8499.66
56,Significant Academic,Books,Academic,9445.54
57,VARIOUS FOOTWEAR,Clothing,Footwear,4612.02
58,Buy Kitchen,Home,Kitchen,1205.44
59,  Spend Comic  ,Books,Comics,4377.45
60,We Camera,Electronics,Cameras,8359.31
61,All Camera,Electronics,Cameras,8617.68
62,Government Kid,Clothing,Kids,7570.37
63,Surface Camera,Electronics,Cameras,13496.99
64,Laugh Kitchen,Home,Kitchen,2671.13
65,Expert Footwear,Clothing,Footwear,7908.62
66,Need Kid,Clothing,Kids,4315.11
67,Attack Academic,Books,Academic,880.25
68,Everyone Kitchen,Home,Kitchen,8413.65
69,Seem Academic,Books,Academic,12788.34
70,PART KID,Clothing,Kids,13759.52
71,Product Bedding,Home,Bedding,10661.63
72,Ball Accessorie,Electronics,Accessories,9688.05
73,Model Furniture,Home,Furniture,12451.49
74,Lose Camera,Electronics,Cameras,371.64
75,Much Furniture,Home,Furniture,5191.81
76,Here Non-Fiction,Books,Non-Fiction,2149.72
77,Around Accessorie,Electronics,Accessories,1607.0
78,Money Accessorie,Electronics,Accessories,9308.67
79,Town Non-Fiction,Books,Non-Fiction,12487.04
80,  Our Footwear  ,Clothing,Footwear,10821.83
81,Compare Academic,Books,Academic,11778.63
82,Hold Women,Clothing,Women,12148.5
83,Coach Non-Fiction,Books,Non-Fiction,14212.24
84,Especially Comic,Books,Comics,11694.05
