item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,269,6,1217.82,0
2,1,475,2,2962.77,5
3,1,208,2,823.34,0
4,1,27,6,7036.62,10
5,1,526,1,1465.69,5
6,2,240,1,5760.74,0
7,2,297,3,5314.27,15
8,2,23,4,4705.66,0
9,2,257,-6,7408.08,30
10,3,259,3,164.47,0
11,3,91,1,2490.58,5
12,3,140,3,5709.41,30
13,3,243,1,4846.53,20
14,3,158,6,3747.28,20
15,4,191,4,6573.15,0
16,5,155,1,4992.04,5
17,6,86,5,4527.82,0
18,6,230,5,4858.5,0
19,6,41,5,3356.13,15
20,6,95,2,6613.56,0
21,6,297,6,4761.7,0
22,7,223,2,7717.38,5
23,8,453,2,3505.2,20
24,9,56,-1,5276.04,0
25,9,308,5,4098.8,30
26,9,71,3,6523.81,0
27,9,496,1,1726.96,0
28,10,255,3,2181.62,15
29,11,29,5,3187.64,0
30,11,505,6,2839.34,0
31,11,79,3,5258.85,0
32,11,263,2,3080.86,5
33,12,404,1,5330.88,0
34,13,57,3,5551.21,30
35,14,193,5,6891.74,5
36,15,435,4,279.41,15
37,16,288,2,3743.58,0
38,16,413,4,5481.38,0
39,16,407,1,6946.52,0
40,16,252,3,4519.52,5
41,16,141,2,2456.13,0
42,17,346,3,4379.52,5
43,17,548,5,1451.69,30
44,17,503,3,141.11,30
45,17,301,2,6822.25,15
46,18,145,3,989.3,0
47,18,383,5,6275.61,5
48,18,346,3,1404.24,5
49,18,281,4,4530.27,5
50,18,365,5,1644.07,5
51,19,247,1,5589.37,20
52,19,545,3,4199.17,20
53,20,281,6,3203.87,30
54,20,530,1,3262.57,0
55,20,442,4,7133.07,30
56,20,492,4,1062.44,15
57,21,310,6,2099.18,0
58,21,5,3,4398.0,10
59,21,526,6,3096.03,0
60,21,106,1,3111.55,0
61,21,114,3,345.28,5
62,22,78,4,274.87,15
63,22,92,3,5081.68,20
64,22,529,3,1486.05,20
65,22,171,5,3100.22,10
66,23,512,1,6474.94,5
67,23,463,3,5445.6,15
68,24,347,-4,1923.85,0
69,24,363,1,7646.72,0
70,24,421,2,1283.7,5
71,25,386,6,7730.65,30
72,25,483,6,1740.51,5
73,25,274,5,6310.22,0
74,25,129,5,5465.52,30
75,25,102,1,4725.27,10
76,26,88,4,7264.38,0
77,27,117,1,6548.35,10
78,27,72,5,6985.68,30
79,27,194,4,5559.12,0
