order_id,customer_id,order_date,status,region_code
1,13,2025-10-18 00:41:46,DELIVERED,CENTRAL
2,,2024-07-17 03:18:50,DELIVERED,EAST
3,322,2025-07-22 00:30:10,SHIPPED,WEST
4,398,2025-12-05 09:43:56,DELIVERED,EAST
5,10,2026-12-05 03:02:00,DELIVERED,CENTRAL
6,232,2024-11-24 11:13:26,CANCELLED,SOUTH
7,174,2026-12-07 03:11:42,CANCELLED,CENTRAL
8,399,2024-06-03 08:06:12,DELIVERED,EAST
9,480,2026-05-10 19:04:57,DELIVERED,EAST
10,232,2026-10-19 18:23:51,DELIVERED,NORTH
11,563,2024-11-21 13:17:53,DELIVERED,EAST
12,342,2025-07-10 15:35:06,DELIVERED,EAST
13,111,2026-04-24 20:04:46,PLACED,CENTRAL
14,585,25-10-2026,DELIVERED,CENTRAL
15,552,2024-07-08 18:46:54,DELIVERED,CENTRAL
16,266,2026-01-08 19:43:10,SHIPPED,SOUTH
17,410,2026-12-05 23:46:30,PLACED,WEST
18,207,2025-05-22 06:33:58,DELIVERED,WEST
19,33,2026-06-23 16:40:53,DELIVERED,CENTRAL
20,136,2025-10-12 18:41:57,DELIVERED,WEST
21,175,2026-07-27 11:31:50,DELIVERED,CENTRAL
22,324,2024-05-17 20:17:13,SHIPPED,CENTRAL
23,92,2026-05-26 10:46:07,DELIVERED,SOUTH
24,460,2025-01-02 04:36:37,DELIVERED,NORTH
25,118,2024-04-06 16:25:38,DELIVERED,EAST
26,170,2025-10-16 15:10:14,DELIVERED,CENTRAL
27,141,2026-10-09 05:46:43,DELIVERED,CENTRAL
28,276,2025-03-01 06:33:55,DELIVERED,SOUTH
29,139,2025-12-20 01:56:50,DELIVERED,NORTH
30,104,2026-09-01 21:41:27,DELIVERED,NORTH
31,314,2024-12-16 12:22:37,CANCELLED,CENTRAL
32,106,2025-08-08 02:18:38,DELIVERED,SOUTH
33,,19-11-2026,DELIVERED,EAST
34,85,2024-08-19 08:16:54,DELIVERED,CENTRAL
35,485,2025-11-14 17:50:35,DELIVERED,CENTRAL
36,232,2026-07-23 12:47:08,DELIVERED,SOUTH
37,502,2024-03-17 12:50:21,DELIVERED,NORTH
38,453,2024-11-27 04:30:59,PLACED,EAST
39,64,2026-01-13 12:39:41,DELIVERED,CENTRAL
40,552,2024-10-15 00:12:54,DELIVERED,EAST
41,561,2026-09-23 07:39:10,DELIVERED,NORTH
42,71,2025-11-12 21:25:25,DELIVERED,NORTH
43,399,2025-11-18 18:22:22,DELIVERED,CENTRAL
44,337,2025-09-09 05:26:32,PLACED,EAST
45,90,2026-12-18 18:16:44,DELIVERED,WEST
46,542,2025-12-15 21:29:57,PLACED,NORTH
47,278,2026-11-08 21:44:14,DELIVERED,EAST
48,8,2026-11-08 09:05:25,DELIVERED,NORTH
49,140,2025-06-07 18:17:11,DELIVERED,SOUTH
50,155,2024-11-28 08:13:14,SHIPPED,CENTRAL
51,556,2024-03-03 21:42:31,DELIVERED,CENTRAL
52,358,2025-10-16 18:55:17,RETURNED,CENTRAL
53,174,17-03-2026,DELIVERED,SOUTH
54,94,2026-09-11 22:00:00,DELIVERED,NORTH
55,439,2025-04-09 07:17:30,DELIVERED,SOUTH
56,164,2025-11-12 11:54:25,SHIPPED,SOUTH
57,489,2024-11-24 08:51:15,CANCELLED,SOUTH
58,526,2024-08-01 05:26:31,CANCELLED,CENTRAL
59,238,2025-06-18 18:03:25,SHIPPED,SOUTH
60,354,2026-03-24 10:16:23,DELIVERED,EAST
61,306,2024-07-22 19:12:36,DELIVERED,SOUTH
62,217,2025-06-17 15:49:47,PLACED,CENTRAL
63,449,2024-12-21 10:26:40,DELIVERED,NORTH
64,255,2024-06-21 09:45:17,DELIVERED,WEST
65,265,2026-10-15 13:10:11,SHIPPED,SOUTH
66,530,2026-11-07 05:25:06,CANCELLED,WEST
67,22,2025-09-03 03:16:39,DELIVERED,WEST
68,195,2026-06-21 04:08:33,PLACED,EAST
69,248,2025-08-28 17:59:17,SHIPPED,CENTRAL
70,432,2025-10-21 18:27:33,DELIVERED,EAST
71,179,2024-08-12 13:16:09,PLACED,SOUTH
72,348,2026-01-16 15:19:00,DELIVERED,CENTRAL
73,6,2026-07-14 17:27:25,DELIVERED,WEST
74,173,2025-02-21 07:33:48,DELIVERED,EAST
75,529,2026-11-14 06:54:04,DELIVERED,WEST
76,212,2026-10-07 10:01:09,DELIVERED,SOUTH
77,215,2025-03-15 23:00:14,PLACED,SOUTH
78,235,2025-12-15 22:50:02,DELIVERED,SOUTH
79,553,2025-02-16 05:12:57,DELIVERED,NORTH
80,549,2026-05-25 14:15:47,SHIPPED,NORTH
81,162,2025-07-10 10:10:40,DELIVERED,CENTRAL
82,200,2025-10-07 11:56:03,SHIPPED,NORTH
83,319,2025-01-26 08:37:07,SHIPPED,NORTH
84,494,2025-11-05 11:49:05,DELIVERED,CENTRAL
85,544,2026-02-12 20:09:44,SHIPPED,WEST
86,404,26-11-2026,DELIVERED,SOUTH
87,33,2025-11-18 09:34:44,DELIVERED,CENTRAL
88,522,2025-06-27 19:58:55,PLACED,SOUTH
89,588,2025-09-15 00:49:40,DELIVERED,NORTH
90,266,2026-05-24 02:42:34,SHIPPED,WEST
91,123,2026-06-14 20:20:07,DELIVERED,NORTH
92,103,2024-12-07 03:31:12,DELIVERED,WEST
93,385,2026-11-09 01:23:14,PLACED,SOUTH
94,596,2024-08-21 01:23:35,CANCELLED,EAST
95,48,2026-05-02 23:04:53,CANCELLED,CENTRAL
96,517,2024-09-07 06:33:42,DELIVERED,SOUTH
97,404,2025-11-25 20:36:22,DELIVERED,WEST
98,131,2024-09-17 10:42:10,DELIVERED,EAST
99,399,2025-12-14 20:27:52,DELIVERED,CENTRAL
100,275,2026-12-09 11:28:28,PLACED,NORTH
101,431,2024-09-10 00:19:14,DELIVERED,EAST
102,376,2026-09-19 04:06:02,SHIPPED,EAST
103,420,2024-05-26 09:05:36,CANCELLED,NORTH
104,570,2025-04-27 22:44:36,PLACED,EAST
105,,2026-07-25 01:58:49,CANCELLED,WEST
106,94,2024-11-28 19:59:00,DELIVERED,NORTH
107,35,2025-09-05 10:32:44,PLACED,WEST
108,537,2026-09-03 07:27:18,SHIPPED,EAST
109,415,2026-02-13 08:05:25,DELIVERED,SOUTH
110,357,2026-04-13 20:36:12,RETURNED,CENTRAL
111,57,2025-11-11 21:59:36,DELIVERED,WEST
112,147,2025-07-21 00:49:19,DELIVERED,WEST
113,325,2024-12-08 06:43:23,DELIVERED,NORTH
114,44,2024-12-05 09:00:21,SHIPPED,WEST
115,251,2024-11-07 06:34:33,DELIVERED,CENTRAL
116,112,2026-11-01 12:37:57,PLACED,SOUTH
117,155,2026-10-02 14:41:00,DELIVERED,EAST
118,15,2025-12-21 12:14:24,DELIVERED,EAST
119,432,2026-02-07 16:29:35,PLACED,SOUTH
120,232,2025-09-24 05:01:22,DELIVERED,EAST
121,370,2025-11-21 08:56:24,DELIVERED,NORTH
122,214,2024-04-13 21:08:05,DELIVERED,CENTRAL
123,489,2024-08-19 04:27:19,DELIVERED,CENTRAL
124,466,2024-10-22 06:55:08,DELIVERED,CENTRAL
125,315,2024-10-19 05:20:04,CANCELLED,NORTH
126,117,2026-01-11 13:26:19,CANCELLED,EAST
127,146,2024-03-01 19:39:17,DELIVERED,CENTRAL
128,490,2024-07-23 15:08:32,DELIVERED,EAST
129,283,2025-08-06 06:14:02,RETURNED,EAST
130,174,2026-10-07 06:04:11,RETURNED,CENTRAL
131,247,2025-12-14 12:49:02,DELIVERED,EAST
132,529,2026-10-17 20:56:45,DELIVERED,WEST
133,36,2024-09-13 23:02:35,DELIVERED,NORTH
134,324,2025-12-25 09:29:10,DELIVERED,NORTH
135,113,2025-11-15 02:46:32,DELIVERED,CENTRAL
136,308,2025-08-06 14:37:57,SHIPPED,WEST
137,246,2026-10-23 05:45:46,SHIPPED,WEST
138,70,2026-11-24 16:39:10,DELIVERED,SOUTH
139,410,2026-12-06 04:11:49,DELIVERED,EAST
140,329,2025-10-04 04:12:00,DELIVERED,WEST
141,368,2026-11-20 15:15:13,DELIVERED,WEST
142,433,2026-01-18 08:39:40,DELIVERED,NORTH
143,45,2026-07-05 01:42:36,DELIVERED,NORTH
144,,2025-12-06 21:18:39,DELIVERED,CENTRAL
145,139,2025-11-12 01:05:49,DELIVERED,WEST
146,543,2025-12-03 09:30:08,CANCELLED,EAST
147,385,2024-11-20 01:06:36,DELIVERED,NORTH
148,492,2026-12-23 09:27:38,DELIVERED,CENTRAL
149,259,2024-10-16 16:46:40,DELIVERED,CENTRAL
150,220,2024-01-01 14:40:50,DELIVERED,CENTRAL
151,308,2024-07-18 20:13:00,DELIVERED,EAST
152,232,2025-09-11 00:07:43,DELIVERED,CENTRAL
153,25,2024-04-27 10:59:43,DELIVERED,NORTH
154,358,2024-10-28 17:57:21,DELIVERED,NORTH
155,227,2026-11-11 17:34:01,DELIVERED,EAST
156,120,2025-12-11 12:40:34,DELIVERED,WEST
157,90,2025-11-11 22:02:17,DELIVERED,SOUTH
158,594,2025-05-10 05:07:23,DELIVERED,NORTH
159,21,2025-12-05 06:21:59,CANCELLED,EAST
160,114,2024-11-17 21:08:13,DELIVERED,CENTRAL
161,235,2024-11-20 02:21:29,SHIPPED,EAST
162,,2025-10-07 10:12:12,DELIVERED,WEST
163,212,2024-04-04 00:39:35,SHIPPED,EAST
164,211,2024-12-26 09:36:15,DELIVERED,EAST
165,41,2024-01-22 01:06:24,DELIVERED,SOUTH
166,428,2026-12-23 14:39:22,DELIVERED,CENTRAL
167,540,2025-09-03 22:29:06,DELIVERED,WEST
168,176,2024-12-20 08:58:23,DELIVERED,EAST
169,247,2025-08-03 15:07:22,DELIVERED,EAST
170,436,2026-03-04 12:52:45,DELIVERED,NORTH
171,391,2025-07-14 07:39:15,RETURNED,WEST
172,162,2026-10-26 13:36:50,DELIVERED,SOUTH
173,62,2026-12-19 15:07:37,DELIVERED,NORTH
174,138,2025-12-03 19:06:43,DELIVERED,WEST
175,458,2026-02-07 04:56:37,DELIVERED,NORTH
176,472,2024-08-10 12:39:36,SHIPPED,EAST
177,572,2026-06-14 22:58:22,DELIVERED,CENTRAL
178,298,2024-12-02 11:57:35,PLACED,CENTRAL
179,263,2024-12-28 00:15:27,DELIVERED,EAST
180,300,2025-08-07 21:11:30,DELIVERED,EAST
181,123,2025-12-22 04:08:00,PLACED,WEST
182,107,2024-03-26 13:55:29,DELIVERED,WEST
183,337,2026-08-27 14:24:22,DELIVERED,NORTH
184,521,2024-11-09 13:59:34,PLACED,NORTH
185,504,2025-03-16 22:05:09,DELIVERED,EAST
186,63,2026-12-03 07:30:40,RETURNED,NORTH
187,397,02-06-2026,DELIVERED,WEST
188,251,26-07-2025,CANCELLED,EAST
189,409,2025-02-16 18:10:36,RETURNED,CENTRAL
190,,2025-02-17 02:54:50,SHIPPED,EAST
191,204,2024-11-20 05:58:37,DELIVERED,EAST
192,206,2026-05-06 16:55:02,PLACED,SOUTH
193,589,2024-12-25 13:49:24,DELIVERED,SOUTH
194,523,2025-02-09 03:03:10,DELIVERED,WEST
195,537,2026-05-22 22:24:30,DELIVERED,WEST
196,,2025-07-11 16:43:02,DELIVERED,EAST
197,317,2026-12-28 08:21:17,PLACED,CENTRAL
198,551,2026-11-24 21:37:49,DELIVERED,SOUTH
199,9,2026-01-03 00:26:06,DELIVERED,EAST
200,216,2025-04-01 19:05:03,DELIVERED,SOUTH
201,453,2024-11-04 02:54:38,DELIVERED,CENTRAL
202,144,2024-11-09 09:29:42,DELIVERED,EAST
203,495,2026-11-11 08:10:49,DELIVERED,WEST
204,50,2025-12-09 05:28:04,CANCELLED,CENTRAL
205,458,2025-03-18 13:13:39,CANCELLED,EAST
206,58,2024-09-09 14:01:57,DELIVERED,NORTH
207,475,2025-05-23 10:57:25,DELIVERED,WEST
208,298,26-11-2026,RETURNED,WEST
209,393,2025-07-10 12:03:40,DELIVERED,EAST
210,254,2024-12-25 09:41:12,PLACED,WEST
211,227,2026-07-04 20:44:22,CANCELLED,WEST
212,111,2024-04-24 18:15:31,DELIVERED,EAST
213,598,2025-12-01 01:21:03,DELIVERED,WEST
214,583,2026-10-15 21:55:55,DELIVERED,SOUTH
215,31,2026-03-21 00:30:58,PLACED,SOUTH
216,,2026-02-10 03:29:39,DELIVERED,NORTH
217,430,2026-05-26 06:27:21,RETURNED,WEST
218,488,2026-09-11 06:48:02,DELIVERED,NORTH
219,542,2025-04-12 17:10:28,DELIVERED,SOUTH
220,450,2026-07-06 00:56:31,PLACED,NORTH
221,429,2025-08-26 15:44:08,DELIVERED,CENTRAL
222,190,2024-10-02 19:11:45,RETURNED,EAST
223,3,2026-05-04 16:06:39,DELIVERED,CENTRAL
224,344,2026-10-09 01:12:07,DELIVERED,WEST
225,128,2026-12-02 20:23:18,DELIVERED,CENTRAL
226,543,2025-01-24 01:59:34,DELIVERED,WEST
227,56,2024-11-19 18:20:26,DELIVERED,EAST
228,85,2025-05-08 23:26:55,CANCELLED,NORTH
229,359,2024-12-05 06:59:39,DELIVERED,SOUTH
230,149,09-07-2026,DELIVERED,EAST
231,345,2025-08-25 10:14:56,SHIPPED,CENTRAL
232,418,2026-12-03 13:54:33,RETURNED,CENTRAL
233,342,2025-01-14 23:55:15,DELIVERED,SOUTH
234,427,2024-12-01 13:02:02,DELIVERED,CENTRAL
235,,2026-07-26 22:52:06,SHIPPED,CENTRAL
236,496,2026-07-07 04:22:18,RETURNED,NORTH
237,232,28-11-2024,DELIVERED,SOUTH
238,300,2024-11-12 20:29:45,CANCELLED,NORTH
239,494,2025-09-10 13:48:17,DELIVERED,CENTRAL
240,565,2026-02-11 23:59:03,CANCELLED,EAST
241,86,2025-07-20 01:23:23,DELIVERED,NORTH
242,552,2024-03-11 07:34:07,DELIVERED,CENTRAL
243,503,2024-11-25 07:20:22,DELIVERED,WEST
244,52,2025-07-16 16:33:53,DELIVERED,CENTRAL
245,334,2026-07-22 22:51:56,CANCELLED,WEST
246,287,2024-06-03 03:10:17,SHIPPED,SOUTH
247,382,2026-01-14 21:34:59,DELIVERED,WEST
248,17,2025-04-01 07:53:33,DELIVERED,EAST
249,564,2025-08-22 22:33:53,DELIVERED,CENTRAL
250,567,2025-04-09 07:30:23,DELIVERED,NORTH
251,217,2025-12-20 05:45:34,RETURNED,SOUTH
252,90,2024-12-19 04:28:16,SHIPPED,NORTH
253,255,2024-07-18 05:34:19,PLACED,WEST
254,340,2025-04-24 17:32:21,DELIVERED,EAST
255,539,2026-10-26 18:46:58,DELIVERED,NORTH
256,34,2024-11-04 09:01:25,SHIPPED,EAST
257,45,2026-10-19 16:14:50,DELIVERED,NORTH
258,329,2026-10-03 16:25:12,DELIVERED,CENTRAL
259,476,2025-07-23 13:23:24,DELIVERED,EAST
260,329,2026-02-24 14:47:26,DELIVERED,WEST
261,309,2024-12-20 02:09:13,RETURNED,CENTRAL
262,53,2026-11-03 00:26:40,DELIVERED,CENTRAL
263,412,2024-04-27 12:18:35,DELIVERED,EAST
264,231,15-09-2025,DELIVERED,WEST
265,476,16-08-2025,DELIVERED,WEST
266,53,2026-11-19 15:36:27,DELIVERED,WEST
267,588,2024-07-24 18:01:54,DELIVERED,SOUTH
268,496,2024-07-02 08:23:26,RETURNED,NORTH
269,388,2026-12-17 06:49:40,PLACED,SOUTH
270,238,2026-11-09 21:44:44,DELIVERED,EAST
